ID,Title,Status,Priority,Work Type,Description,URL,Global ID,Assigned to,Teams Assigned to,Requested by,Requested on,Created by,Created on,Planned Start Date,Due date,Estimated Time,Started on,Completed on,Completed by,Last updated,Recurrence,Location,Location ID,Asset,Asset ID,Categories,Vendors,Vendor IDs,Procedure Name,Procedure Template ID,Procedure Passes,Procedure Flags,Procedure Failures,Procedure Score (%),Time to Complete,Time Open,Time In Progress,Time On Hold,Work Request ID,Thumbnail,Attachments,Procedure Description,Meter ID,Meter Condition,Parent,Parent ID,Total Estimated Time,Parent Global ID,Is Parent?,Total Parts Cost,Total Time Cost,Total Reported Time,Additional Costs,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7,Question 8,Answer 8,Question 9,Answer 9,Question 10,Answer 10,Question 11,Answer 11,Question 12,Answer 12,Question 13,Answer 13,Question 14,Answer 14,Question 15,Answer 15
13,Remove door between Distro and Barn,DONE,MEDIUM,REACTIVE,Remove the door and close in the wall to secure Distribution.,https://app.getmaintainx.com/workorders/46158941?organizationId=342508,46158941,Daniel Crawford,,,,Daniel Crawford,2025-01-03 10:47:50,2025-01-01 00:00:00,2025-01-17,4:00:00,2025-01-07 15:50:06,2025-01-07 15:50:06,Daniel Crawford,2025-01-07 15:50:06,,Distribution,2661747,,,,,,,,0,0,0,,101:02:15,71:29:58,,29:32:17,,,,,,,,,,,false,$0.00,$0.00,1:00:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/46311707?organizationId=342508,46311707,Daniel Crawford,,,,Daniel Crawford,2025-01-06 11:45:05,2025-02-01 00:00:00,2025-02-01,1:00:00,2025-03-19 10:02:42,2025-03-19 10:02:42,Daniel Crawford,2025-03-19 10:02:42,Weekly|6|Monday,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,1113:02:42,1113:02:42,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/46311867?organizationId=342508,46311867,Daniel Crawford,,,,Daniel Crawford,2025-01-06 11:46:21,2025-02-01 00:00:00,2025-02-01,1:00:00,2025-03-19 10:02:44,2025-03-19 10:02:44,Daniel Crawford,2025-03-19 10:02:44,Weekly|6|Monday,Processing,2648780,Willow Air #2 - Processing,7851714,,,,,,0,0,0,,1113:02:45,1113:02:45,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/46312041?organizationId=342508,46312041,Daniel Crawford,,,,Daniel Crawford,2025-01-06 11:47:26,2025-02-01 00:00:00,2025-02-01,1:00:00,2025-03-19 10:02:47,2025-03-19 10:02:47,Daniel Crawford,2025-03-19 10:02:47,Weekly|6|Monday,Hash Lab,2661286,Willows Air Hash Lab,7738793,,,,,,0,0,0,,1113:02:47,1113:02:47,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AIR COMPRESSOR FOR STATIC MACHINE IN HASH LAB,DONE,MEDIUM,REACTIVE,"Our air compressor connected to static machine is not functional at all as of 1/7. We need this fixed ASAP in order to continue with timely hash production. Thank you!

Requester contact information:
latif@hudsonhemp.com",https://app.getmaintainx.com/workorders/46384719?organizationId=342508,46384719,Daniel Crawford,,latif@hudsonhemp.com,2025-01-07 08:01:03,Daniel Crawford,2025-01-07 08:11:50,,,1:00:00,2025-01-27 09:36:55,2025-01-27 09:36:55,Daniel Crawford,2025-01-27 09:36:55,,Pre-Extraction,2661745,Air Compressor,7741265,,,,,,0,0,0,,481:25:04,481:25:04,,,,https://app.getmaintainx.com/api/s3/uploads/807b09b2-e855-41f3-831d-bedbb040d457_IMG_4505.HEIC,"https://app.getmaintainx.com/api/s3/uploads/7e707b4f-1542-433b-9096-a7ffffa546d5_IMG_4504.HEIC,https://app.getmaintainx.com/api/s3/uploads/be8e79d8-e516-4972-84a0-a6ad728e6a5d_IMG_4506.HEIC,https://app.getmaintainx.com/api/s3/uploads/807b09b2-e855-41f3-831d-bedbb040d457_IMG_4505.HEIC",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Heat in Farmhouse kitchen,DONE,,REACTIVE,"The heat doesn't seem to be working in the farmhouse kitchen. Thermostat is set to 68 and the current temp in there is 59. Don't want to run into issues with frozen pipes with the cold temps we are having.

Requester contact information:
gina@hudsonhemp.com",https://app.getmaintainx.com/workorders/46404042?organizationId=342508,46404042,Daniel Crawford,,gina@hudsonhemp.com,2025-01-07 10:53:45,Daniel Crawford,2025-01-07 10:54:24,,,1:00:00,2025-01-13 14:01:18,2025-01-13 14:01:18,Daniel Crawford,2025-01-13 14:01:18,,Hudson NY,2648779,,,,,,,,0,0,0,,147:06:52,19:27:34,,127:39:18,,,,,,,,,,,false,$0.00,$0.00,0:10:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Stable power for all Security related components,DONE,HIGH,REACTIVE,"We had a power outage yesterday. Since that outage I am unable to make a badge or access the entry/exit portal. I have asked Myers Security how this can be remedied. They said they will need to make a service call, but also said, if this unit doesn't have stable power it will not work.

Requester contact information:
matt@hudsonhemp.com",https://app.getmaintainx.com/workorders/46483717?organizationId=342508,46483717,Daniel Crawford,,matt@hudsonhemp.com,2025-01-08 08:19:46,Daniel Crawford,2025-01-08 08:31:46,2025-01-08 00:00:00,2025-02-01,1:00:00,2025-02-10 07:48:06,2025-02-11 13:54:00,Daniel Crawford,2025-02-11 13:54:00,,Hudson NY,2648779,,,,,,,,0,0,0,,821:22:14,457:04:59,30:05:54,334:11:21,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Emergency light in distro,IN PROGRESS,,REACTIVE,"When the power went out, the emergency exit light at the back of the building did not go on. Not urgent, just give it a look when you can!",https://app.getmaintainx.com/workorders/46622764?organizationId=342508,46622764,Daniel Crawford,,,2025-01-09 14:26:14,Daniel Crawford,2025-01-09 15:27:38,,,1:00:00,2025-01-27 09:36:39,,,2025-01-27 09:36:39,,Hudson NY,2648779,,,,,,,,,,,,426:09:01,426:09:01,4520:32:58,,,https://app.getmaintainx.com/api/s3/uploads/8d41b6e7-3f43-4cae-aefa-ee3f712f89dd_1000000919_720.jpg,https://app.getmaintainx.com/api/s3/uploads/8d41b6e7-3f43-4cae-aefa-ee3f712f89dd_1000000919_720.jpg,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Electrical outlet in production room,DONE,,REACTIVE,breaker is tripped not sure where its tripped.,https://app.getmaintainx.com/workorders/46672199?organizationId=342508,46672199,Daniel Crawford,,,2025-01-10 08:22:57,Daniel Crawford,2025-01-10 09:17:52,,,1:00:00,2025-01-27 09:21:44,2025-01-27 09:21:44,Daniel Crawford,2025-01-27 09:21:44,,Hudson NY,2648779,,,,,,,,0,0,0,,408:03:51,408:03:51,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Need light in clone room fixed,DONE,MEDIUM,REACTIVE,"there are two lights in the back clone rooms that need to be fixed attached to this switch

Requester contact information:
4137175677",https://app.getmaintainx.com/workorders/46852612?organizationId=342508,46852612,Daniel Crawford,,4137175677,2025-01-10 15:14:30,Daniel Crawford,2025-01-13 14:00:49,2025-01-16 00:00:00,2025-02-07,1:00:00,2025-01-27 09:36:37,2025-02-08 09:10:53,Daniel Crawford,2025-02-08 09:10:53,,General,2648754,,,,Veith Electric,704262,,,0,0,0,,561:10:52,273:36:37,287:34:15,,,https://app.getmaintainx.com/api/s3/uploads/0a51ae7f-7b43-4771-b673-5f9a4643d69d_1000009917.jpg,"https://app.getmaintainx.com/api/s3/uploads/5addc650-7cfb-42ae-bad9-5d58a62e0496_1000009915.jpg,https://app.getmaintainx.com/api/s3/uploads/60e3d02d-0942-4638-9caa-6efb8d3e22e2_1000009912.jpg,https://app.getmaintainx.com/api/s3/uploads/0a51ae7f-7b43-4771-b673-5f9a4643d69d_1000009917.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Test and Document Emergency Lighting,DONE,HIGH,PREVENTIVE,"Test and Document Emergency lighting checks.  Recommend any additional lights which may be missing.  
Every exit should have an emergency light - All lights should work",https://app.getmaintainx.com/workorders/46852848?organizationId=342508,46852848,Daniel Crawford,,,,Daniel Crawford,2025-01-13 14:03:01,2025-01-13 00:00:00,2025-01-14,4:00:00,2025-01-27 09:36:34,2025-03-19 10:02:28,Daniel Crawford,2025-03-19 10:02:28,Monthly|1|13,,,,,,,,,,0,0,0,,1554:59:26,331:33:32,1223:25:54,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Please fix the gap in new seal,DONE,LOW,REACTIVE,"Please fix the remaining gap after new bay door seal was applied over holiday break. This is still accessible for rodents/water/cold air to get in.

Requester contact information:
Emily@hudsonhemp.com",https://app.getmaintainx.com/workorders/46916005?organizationId=342508,46916005,Daniel Crawford,,Emily@hudsonhemp.com,2025-01-08 14:18:54,Daniel Crawford,2025-01-14 08:57:07,2025-01-07 00:00:00,2025-01-08,1:00:00,2025-01-14 08:57:31,2025-01-14 08:57:31,Daniel Crawford,2025-01-14 08:57:31,,Hudson NY,2648779,,,,,,,,0,0,0,,0:00:23,0:00:23,,,,https://app.getmaintainx.com/api/s3/uploads/a1f3ad56-f277-424f-bf79-b03a7a2155be_IMG_0076.jpeg,https://app.getmaintainx.com/api/s3/uploads/a1f3ad56-f277-424f-bf79-b03a7a2155be_IMG_0076.jpeg,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Repair Bathrooms,DONE,MEDIUM,REACTIVE,"In the processing building / Break area the bathrooms need some attention.

Clean out all construction material/ paint/epoxy
Fix any peeling paint - touch up where required
Install new soap dispensers",https://app.getmaintainx.com/workorders/46932215?organizationId=342508,46932215,Daniel Crawford,,,,Daniel Crawford,2025-01-14 11:04:12,2025-01-14 00:00:00,2025-01-21,8:00:00,2025-01-21 14:06:52,2025-01-21 14:06:52,Daniel Crawford,2025-01-21 14:06:52,,Hudson NY,2648779,,,,,,,,0,0,0,,171:02:39,171:02:39,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Secure front step at the entrance of the Packaging / Quality building,DONE,HIGH,REACTIVE,"The step up into the main entrance door moves around and becomes unstable / wobbly.

**This is on the Carbon Building**

Requester contact information:
rachellee@hudsonhemp.com",https://app.getmaintainx.com/workorders/46959191?organizationId=342508,46959191,Daniel Crawford,,rachellee@hudsonhemp.com,2025-01-14 14:13:38,Daniel Crawford,2025-01-14 14:15:45,2025-01-15 00:00:00,2025-01-15,1:00:00,2025-01-27 09:36:30,2025-01-27 09:36:30,Daniel Crawford,2025-01-27 09:36:30,,Hudson NY,2648779,,,,,,,,0,0,0,,297:36:30,297:36:30,,,,https://app.getmaintainx.com/api/s3/uploads/d2f21c41-e5ad-4b9f-9793-6c8d99c5db44_1000007651.jpg,"https://app.getmaintainx.com/api/s3/uploads/2fc7e02e-b2da-4cc8-a6ee-a3e1c542eb95_1000007652.jpg,https://app.getmaintainx.com/api/s3/uploads/d2f21c41-e5ad-4b9f-9793-6c8d99c5db44_1000007651.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Leak from outside,DONE,MEDIUM,REACTIVE,"Seems to be new water drippings getting into the room from the spot that was just sealed up.

Requester contact information:
Shawn@hudsonhemp.com",https://app.getmaintainx.com/workorders/46959315?organizationId=342508,46959315,Daniel Crawford,,Shawn@hudsonhemp.com,2025-01-09 11:04:25,Daniel Crawford,2025-01-14 14:16:54,2025-01-15 00:00:00,2025-01-15,1:00:00,2025-01-27 09:34:25,2025-01-27 09:36:26,Daniel Crawford,2025-01-27 09:36:26,,Hudson NY,2648779,,,,,,,,0,0,0,,297:36:26,297:34:26,0:02:00,,,https://app.getmaintainx.com/api/s3/uploads/87788826-f1b3-4fce-8943-8da5c5b3eee7_1000008104.heic,https://app.getmaintainx.com/api/s3/uploads/87788826-f1b3-4fce-8943-8da5c5b3eee7_1000008104.heic,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Hole in ceiling covered in the nursery,DONE,MEDIUM,REACTIVE,"there is an 8 in hole in the nursery ceiling. it has fiberglass in it too.

Requester contact information:
413-717-5677",https://app.getmaintainx.com/workorders/47490080?organizationId=342508,47490080,Daniel Crawford,,413-717-5677,2025-01-21 14:05:23,Daniel Crawford,2025-01-21 14:06:22,2025-01-21 00:00:00,2025-01-23,1:00:00,2025-01-24 07:48:23,2025-01-24 07:48:23,Daniel Crawford,2025-01-24 07:48:23,,Nursery,2661749,,,,,,,,0,0,0,,65:42:01,65:42:01,,,,https://app.getmaintainx.com/api/s3/uploads/408c5654-d874-4f3b-aba7-d33a81d042b3_20250121_140348_720.jpg,https://app.getmaintainx.com/api/s3/uploads/408c5654-d874-4f3b-aba7-d33a81d042b3_20250121_140348_720.jpg,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pest Prevention Fixes,DONE,MEDIUM,REACTIVE,"For Farmhouse :
#1 -  Hole in floor of closet in Alex's office needs to be sealed. We had a catch in a trap in that closet during the last inspection.

Requester contact information:
kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/47595228?organizationId=342508,47595228,Daniel Crawford,,kacey@hudsonhemp.com,2025-01-22 15:28:55,Daniel Crawford,2025-01-22 15:56:00,2025-01-23 00:00:00,2025-02-06,1:00:00,2025-01-27 09:34:15,2025-02-11 13:54:12,Daniel Crawford,2025-02-11 13:54:12,,Hudson NY,2648779,,,,,,,,0,0,0,,469:54:12,105:34:15,364:19:57,,,https://app.getmaintainx.com/api/s3/uploads/3bcf76f5-6d55-4883-a7a4-6d1ca3c1daa9_0.jpg,"https://app.getmaintainx.com/api/s3/uploads/3f2242f7-dcd2-48bd-b805-34f006af81bc_0.jpg,https://app.getmaintainx.com/api/s3/uploads/3bcf76f5-6d55-4883-a7a4-6d1ca3c1daa9_0.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pest Prevention Fixes: Extraction,DONE,,REACTIVE,"#2 - electrical box on east side exterior of building has a hole in it that the pest prevention guy and I literally watched a mouse climb into, needs to be sealed or plugged. 
#3 - Door in area between extraction and milling areas has a crack in the jamb that pest can come through. We had a catch in the trap there during last inspection.

Requester contact information:
kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/47595440?organizationId=342508,47595440,Daniel Crawford,,kacey@hudsonhemp.com,2025-01-22 15:32:43,Daniel Crawford,2025-01-22 15:58:21,2025-01-23 00:00:00,2025-02-06,1:00:00,2025-01-27 09:34:19,2025-03-18 14:28:21,Daniel Crawford,2025-03-18 14:28:21,,Hudson NY,2648779,,,,,,,,0,0,0,,1309:28:21,105:34:19,1203:54:02,,,https://app.getmaintainx.com/api/s3/uploads/ad02767c-e831-407e-89f3-8f1255a61123_0.jpg,"https://app.getmaintainx.com/api/s3/uploads/72a11d60-6487-4be3-842e-d56c790d0517_0.jpg,https://app.getmaintainx.com/api/s3/uploads/75dfe2d7-8011-4e8f-b2e6-76bb901b29c6_0.jpg,https://app.getmaintainx.com/api/s3/uploads/ad02767c-e831-407e-89f3-8f1255a61123_0.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pest Prevention Fixes: Processing,DONE,MEDIUM,REACTIVE,"#4 - Hole in jamb of door at break room can allow pests to come in, needs to be sealed. 
#5 - Exterior wall separating at corner of building, allowing pests to get in. Needs to be fixed/resealed
#6- Pole going into building needs to be better sealed. There is also a burrow hole in this area going under the building that needs to be filled. 
#7- Pole going into building needs to be better sealed/ recaulked. There is another burrow hole on this side of the door that needs to be sealed as well.

Requester contact information:
kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/47595501?organizationId=342508,47595501,Daniel Crawford,,kacey@hudsonhemp.com,2025-01-22 15:39:42,Daniel Crawford,2025-01-22 15:59:19,2025-01-23 00:00:00,2025-02-06,1:00:00,2025-01-27 09:34:21,2025-02-11 13:54:10,Daniel Crawford,2025-02-11 13:54:10,,Hudson NY,2648779,,,,,,,,0,0,0,,469:54:08,105:34:21,76:47:35,287:32:12,,https://app.getmaintainx.com/api/s3/uploads/0c13c13e-de79-48bc-9cc1-ec99159c5576_0.jpg,"https://app.getmaintainx.com/api/s3/uploads/b318c8c5-97e8-46a9-a351-e4d4556e6ee4_0.jpg,https://app.getmaintainx.com/api/s3/uploads/3bac029e-8140-4a98-9903-6a1b633c82f3_0.jpg,https://app.getmaintainx.com/api/s3/uploads/18c166c3-d3d6-4257-9981-f9fc0713cfba_0.jpg,https://app.getmaintainx.com/api/s3/uploads/cd1298ab-9015-4f3b-af21-445a611df059_0.jpg,https://app.getmaintainx.com/api/s3/uploads/0c13c13e-de79-48bc-9cc1-ec99159c5576_0.jpg",,,,,,,,false,$0.00,$0.00,1:00:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Reflash and Coat Roof,DONE,HIGH,REACTIVE,"Reflash and Coat Roof

Multiple issues with Processing space roof.

Seems to be new water drippings getting into the room from the spot that was just sealed up.

Requester contact information:
Shawn@hudsonhemp.com",https://app.getmaintainx.com/workorders/47883353?organizationId=342508,47883353,Daniel Crawford,,,,Daniel Crawford,2025-01-27 09:36:18,2025-04-01 00:00:00,2025-06-01,1:00:00,2025-07-08 13:54:43,2025-07-08 13:54:43,Daniel Crawford,2025-07-08 13:54:43,,Processing,2648780,,,,,,,,0,0,0,,2365:54:44,2365:54:44,,,,https://app.getmaintainx.com/api/s3/uploads/87788826-f1b3-4fce-8943-8da5c5b3eee7_1000008104.heic,https://app.getmaintainx.com/api/s3/uploads/87788826-f1b3-4fce-8943-8da5c5b3eee7_1000008104.heic,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
